latitude;longitude;name;id_country;;;;;
-54429579;-36,587,909;Islas Georgias del Sur y Sándwich del Sur;;-54.429579;-36.587909;;done;
-53,076,600;73513700;Islas Heard y McDonald;;-53.0766;73.5137;;done;
-51,796,253;-59,523,613;Islas Malvinas (Falkland Islands);47;-51.796253;-59.523613;;done;
15106400;145706500;Islas Marianas del Norte;;15.1064;145.7065;;done;
7131474;171184478;Islas Marshall;;7.131474;171.184478;;done;
-24,703,615;-127439308;Islas Pitcairn;;-24.703615;-127.439308;;done;
-9,645,710;160156194;Islas Salomón;;-9.64571;160.156194;;done;
21694025;-71797928;Islas Turcas y Caicos;;21.694025;-71.797928;;done;
;;Islas Ultramarinas Menores de Estados Unidos;;0;0;;;
18420695;-64,639,968;Islas Vírgenes Británicas;;18.420695;-64.639968;;done;
18335765;-64,896,335;Islas Vírgenes de los EE.UU.;;18.335765;-64.896335;;done;
19513469;-80,566,956;Islas Caimán;;19.513469;-80.566956;;done;
61892635;-6911806;Islas Feroe;46;61.892635;-6.911806;;done;
31046051;34851612;Israel;70;31.046051;34.851612;;done;
41871940;12567380;Italia;;41.87194;12.56738;;done;
18109581;-77,297,508;Jamaica;71;18.109581;-77.297508;;done;
36204824;138252924;Japón;;36.204824;138.252924;;done;
49214439;-2131250;Jersey;;49.214439;-2.13125;;done;
30585164;36238414;Jordania;72;30.585164;36.238414;;done;
48019573;66923684;Kazajistán;;48.019573;66.923684;;done;
-23559;37906193;Kenia;73;-0.023559;37.906193;;done;
41204380;74766098;Kirguistán;76;41.20438;74.766098;;done;
-3370417;-168734039;Kiribati;74;-3.370417;-168.734039;;done;
42602636;20902977;Kosovo;;42.602636;20.902977;;done;
29311660;47481766;Kuwait;75;29.31166;47.481766;;done;
1985627;102495496;Laos;77;1.985627;102.495496;;done;
-29,609,988;28233608;Lesoto;80;-29.609988;28.233608;;done;
56879635;24603189;Letonia;78;56.879635;24.603189;;done;
33854721;35862285;Líbano;79;33.854721;35.862285;;done;
6428055;-9,429,499;Liberia;81;6.428055;-9.429499;;done;
26335100;17228331;Libia;;26.3351;17.228331;;done;
47266666;9555373;Liechtenstein;;47.266666;9.555373;;done;
55169438;23881275;Lituania;82;55.169438;23.881275;;done;
49815273;6129583;Luxemburgo;83;49.815273;6.129583;;done;
22210928;113552971;Macao;;22.210928;113.552971;;done;
41608635;21745275;Macedonia (ARYM);110;41.608635;21.745275;;done;
-18766947;46869107;Madagascar;84;-18.766947;46.869107;;done;
4210484;101975766;Malasia;86;4.210484;101.975766;;done;
-13254308;34301525;Malaui;85;-13.254308;34.301525;;done;
3202778;73220680;Maldivas;87;3.202778;73.22068;;done;
17570692;-3,996,166;Malí;88;17.570692;-3.996166;;done;
35833333;14583333;Malta;89;35.833333;14.583333;;done;
31791702;-7092620;Marruecos;97;31.791702;-7.09262;;done;
14641528;-61,024,174;Martinica;90;14.641528;-61.024174;;done;
-20,348,404;57552152;Mauricio;92;-20.348404;57.552152;;done;
21007890;-10,940,835;Mauritania;91;21.00789;-10.940835;;done;
-12827500;45166244;Mayotte;;-12.8275;45.166244;;done;
23634501;-102,552,784;México;;23.634501;-102.552784;;done;
7425554;150550812;Micronesia;;7.425554;150.550812;;done;
47411631;28369885;Moldavia;93;47.411631;28.369885;;done;
43750298;7412841;Mónaco;;43.750298;7.412841;;done;
46862496;103846656;Mongolia;94;46.862496;103.846656;;done;
42708678;19374390;Montenegro;95;42.708678;19.37439;;done;
16742498;-62,187,366;Montserrat;96;16.742498;-62.187366;;done;
-18,665,695;35529562;Mozambique;98;-18.665695;35.529562;;done;
21913965;95956223;Myanmar (Birmania);99;21.913965;95.956223;;done;
-22,957,640;18490410;Namibia;100;-22.95764;18.49041;;done;
-522778;166931503;Nauru;101;-0.522778;166.931503;;done;
28394857;84124008;Nepal;102;28.394857;84.124008;;done;
12865416;-85,207,229;Nicaragua;106;12.865416;-85.207229;;done;
17607789;8081666;Níger;107;17.607789;8.081666;;done;
9081999;8675277;Nigeria;108;9.081999;8.675277;;done;
-19054445;-169867233;Niue;;-19.054445;-169.867233;;done ;
60472024;8468946;Noruega;;60.472024;8.468946;;done ;
-40,900,557;174885971;Nueva Zelanda;105;-40.900557;174.885971;;done;
-20,904,305;165618042;Nueva Caledonia;104;-20.904305;165.618042;;done;
21512583;55923255;Omán;111;21.512583;55.923255;;done;
31952162;35233154;Palestina;;31.952162;35.233154;;done;
